id,genre_id,genre
2,0,Hip-Hop
5,0,Hip-Hop
10,1,Pop
140,4,Folk
141,4,Folk
148,3,Experimental
182,2,Rock
190,4,Folk
193,4,Folk
194,4,Folk
197,4,Folk
200,4,Folk
203,4,Folk
204,4,Folk
207,4,Folk
210,4,Folk
211,4,Folk
212,4,Folk
213,1,Pop
255,2,Rock
256,2,Rock
368,2,Rock
424,3,Experimental
459,2,Rock
534,4,Folk
540,4,Folk
546,4,Folk
574,2,Rock
602,4,Folk
615,3,Experimental
620,4,Folk
621,4,Folk
625,4,Folk
666,8,International
667,8,International
676,0,Hip-Hop
690,2,Rock
694,0,Hip-Hop
695,0,Hip-Hop
704,8,International
705,8,International
706,8,International
707,8,International
708,8,International
709,8,International
714,4,Folk
715,4,Folk
716,4,Folk
718,4,Folk
777,2,Rock
814,4,Folk
821,1,Pop
822,1,Pop
825,2,Rock
853,8,International
890,4,Folk
892,4,Folk
897,3,Experimental
993,2,Rock
995,3,Experimental
997,3,Experimental
998,3,Experimental
1039,2,Rock
1040,2,Rock
1066,3,Experimental
1069,3,Experimental
1073,3,Experimental
1075,3,Experimental
1082,8,International
1083,3,Experimental
1087,2,Rock
1102,2,Rock
1193,4,Folk
1195,4,Folk
1196,4,Folk
1197,4,Folk
1249,3,Experimental
1259,3,Experimental
1270,2,Rock
1276,3,Experimental
1277,3,Experimental
1278,3,Experimental
1417,2,Rock
1427,2,Rock
1443,3,Experimental
1482,6,Electronic
1510,3,Experimental
1544,4,Folk
1642,1,Pop
1644,1,Pop
1649,1,Pop
1661,1,Pop
1663,1,Pop
1666,1,Pop
1673,3,Experimental
1680,8,International
1681,8,International
1682,8,International
1683,8,International
1684,8,International
1685,8,International
1686,8,International
1687,8,International
1688,8,International
1689,8,International
1701,4,Folk
1702,4,Folk
1703,4,Folk
1704,4,Folk
1706,2,Rock
1720,2,Rock
1732,3,Experimental
1733,3,Experimental
1735,3,Experimental
1736,3,Experimental
1883,2,Rock
1891,2,Rock
1893,4,Folk
1924,4,Folk
1925,4,Folk
1929,3,Experimental
1930,2,Rock
2012,3,Experimental
2096,3,Experimental
2097,4,Folk
2099,1,Pop
3263,4,Folk
3264,4,Folk
3265,4,Folk
3266,4,Folk
3270,4,Folk
3271,4,Folk
3272,4,Folk
3273,4,Folk
3274,4,Folk
3492,2,Rock
3532,1,Pop
3533,1,Pop
3534,1,Pop
3535,1,Pop
3537,1,Pop
3538,1,Pop
3573,6,Electronic
3598,4,Folk
3624,2,Rock
3707,4,Folk
3708,4,Folk
3720,2,Rock
3721,2,Rock
3722,2,Rock
3724,2,Rock
3725,2,Rock
3761,2,Rock
3762,2,Rock
3763,2,Rock
3765,2,Rock
3766,2,Rock
3775,8,International
3776,8,International
3777,8,International
3778,8,International
3779,8,International
3832,4,Folk
3833,2,Rock
3840,2,Rock
3880,4,Folk
3895,8,International
